CustomerID,Age,Gender,Geography,Tenure,Balance,NumOfProducts,HasCreditCard,IsActiveMember,EstimatedSalary,Exited,Age_group,Churn Status
100001,56,Female,Canada,1,75306.44,1,0,0,125547.16,0,Middle Age,Retained
100002,69,Female,Australia,7,4642.68,2,1,1,131990.86,0,Senior,Retained
100003,46,Female,USA,10,222160.67,2,0,0,136399.96,0,Adult,Retained
100004,32,Male,USA,4,56725.19,4,0,0,80657.3,1,Adult,Churned
100005,60,Female,USA,5,232320.16,3,0,1,163129.53,0,Middle Age,Retained
100006,25,Male,Canada,10,179358.61,2,1,0,111388.67,0,Young,Retained
100007,78,Female,Canada,6,190663.37,3,1,1,30038.47,0,Senior,Retained
100008,38,Male,UK,9,50365.37,3,1,0,161448.87,0,Adult,Retained
100009,56,Male,USA,0,58548.61,3,0,1,191082.88,1,Middle Age,Churned
100010,75,Male,UK,7,130316.94,4,0,0,21406.9,0,Senior,Retained
100011,36,Female,USA,3,43024.96,1,0,0,84356.75,0,Adult,Retained
100012,40,Female,UK,8,76357.92,4,0,0,102628.05,1,Adult,Churned
100013,28,Male,UK,0,80365.62,2,1,0,37829.44,0,Young,Retained
100014,28,Male,Australia,10,39907.48,1,0,0,174864.7,0,Young,Retained
100015,41,Female,UK,1,51295.71,2,0,1,63988.43,0,Adult,Retained
100016,70,Female,Canada,5,197137.96,1,1,1,158771.62,0,Senior,Retained
100017,53,Male,UK,10,41798.96,1,0,0,137488.95,0,Middle Age,Retained
100018,57,Female,USA,9,7114.35,4,0,1,123628.71,0,Middle Age,Retained
100019,41,Female,UK,10,157338.74,3,0,1,46507.14,0,Adult,Retained
100020,20,Female,India,0,243995.78,3,1,1,51933.67,0,Young,Retained
100021,39,Female,USA,3,82803.45,1,0,1,18996.2,1,Adult,Churned
100022,70,Male,India,7,29663.93,4,1,0,55735.36,0,Senior,Retained
100023,19,Female,USA,9,142596.83,2,0,1,75634.29,0,Young,Retained
100024,41,Female,Canada,4,226588.55,2,1,1,168297.61,1,Adult,Churned
100025,61,Male,Canada,8,196015.44,3,1,0,79614.61,0,Middle Age,Retained
100026,47,Male,Canada,10,155628.97,3,1,0,153378.14,0,Adult,Retained
100027,55,Female,India,10,78764.12,2,0,0,93494.03,0,Middle Age,Retained
100028,19,Female,Australia,5,135470.04,2,0,0,159124.98,1,Young,Churned
100029,77,Female,USA,0,22811.21,4,1,0,195491.6,1,Senior,Churned
100030,38,Female,Canada,5,169736.36,2,1,0,55569.9,0,Adult,Retained
100031,50,Male,USA,5,181274,4,0,0,173844.91,1,Middle Age,Churned
100032,29,Male,India,5,241257.91,3,1,0,128146.58,0,Young,Retained
100033,75,Male,Australia,7,65099.34,2,0,1,165285.91,1,Senior,Churned
100034,39,Female,India,5,4614.1,3,0,0,133801.32,0,Adult,Retained
100035,78,Female,USA,4,136402.12,1,1,1,90550.41,0,Senior,Retained
